incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
92211,1/1/14,South Carolina,1,,,,,,,,,,,,,,,,
92420,1/1/14,Connecticut,0,,,,,,,,,,,,,,,,
92119,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
92174,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92207,1/1/14,North Carolina,0,,,,,,,,,,,,,,,,
92135,1/1/14,New York,1,,,,,,,,,,,,,,,,
92129,1/1/14,Oklahoma,0,,,,,,,,,,,,,,,,
95279,1/1/14,Alabama,0,,,,,,,,,,,,,,,,
92266,1/1/14,Georgia,0,,,,,,,,,,,,,,,,
219530,1/1/14,Pennsylvania,0,,,,,,,,,,,,,,,,
95286,1/1/14,Iowa,0,,,,,,,,,,,,,,,,
92405,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92292,1/1/14,Indiana,0,,,,,,,,,,,,,,,,
108870,1/1/14,Alaska,0,,,,,,,,,,,,,,,,
92469,1/1/14,Arkansas,0,,,,,,,,,,,,,,,,
92839,1/1/14,Louisiana,0,,,,,,,,,,,,,,,,
92288,1/1/14,North Carolina,0,,,,,,,,,,,,,,,,
108869,1/1/14,Arizona,0,,,,,,,,,,,,,,,,
92456,1/1/14,Alabama,0,,,,,,,,,,,,,,,,
92836,1/1/14,Louisiana,0,,,,,,,,,,,,,,,,
92225,1/1/14,Alabama,0,,,,,,,,,,,,,,,,
95271,1/1/14,Colorado,0,,,,,,,,,,,,,,,,
92434,1/1/14,Connecticut,0,,,,,,,,,,,,,,,,
92828,1/1/14,Mississippi,1,,,,,,,,,,,,,,,,
92221,1/1/14,Alabama,1,,,,,,,,,,,,,,,,
95268,1/1/14,Ohio,0,,,,,,,,,,,,,,,,
92373,1/1/14,Maryland,2,,,,,,,,,,,,,,,,
92607,1/1/14,Michigan,0,,,,,,,,,,,,,,,,
92162,1/1/14,California,0,,,,,,,,,,,,,,,,
94637,1/1/14,Georgia,0,,,,,,,,,,,,,,,,
92363,1/1/14,Kansas,1,,,,,,,,,,,,,,,,
92602,1/1/14,Michigan,2,,,,,,,,,,,,,,,,
92156,1/1/14,Louisiana,0,,,,,,,,,,,,,,,,
92139,1/1/14,New York,0,,,,,,,,,,,,,,,,
92133,1/1/14,New York,0,,,,,,,,,,,,,,,,
94476,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92587,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92360,1/1/14,Colorado,1,,,,,,,,,,,,,,,,
93431,1/1/14,Texas,0,,,,,,,,,,,,,,,,
92307,1/1/14,Wisconsin,0,,,,,,,,,,,,,,,,
92519,1/1/14,Tennessee,0,,,,,,,,,,,,,,,,
95244,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
92251,1/1/14,Ohio,0,,,,,,,,,,,,,,,,
217091,1/1/14,Arizona,0,,,,,,,,,,,,,,,,
92512,1/1/14,Florida,1,,,,,,,,,,,,,,,,
95236,1/1/14,Texas,0,,,,,,,,,,,,,,,,
92248,1/1/14,Virginia,1,,,,,,,,,,,,,,,,
165411,1/1/14,Texas,0,,,,,,,,,,,,,,,,
92400,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
93422,1/1/14,Texas,0,,,,,,,,,,,,,,,,
289294,1/1/14,New York,0,,,,,,,,,,,,,,,,
